"georreference_id"	"location_id"	"decimal_latitude"	"decimal_longitude"	"geodetic_datum"	"coordinate_uncertainty_in_meters"	"coordinate_precision"	"point_radius_spacial_fit"	"footprint_wkt"	"footprint_srs"	"footprint_spatial_fit"	"georreferenced_by"	"georreference_date"	"georreference_protocol"	"georreference_sources"	"georreference_remarks"	"preferred_spatial_representation"
"76e35038cab342fac63bfff3ad04892f"	"4f59d37a9f19c2c257e564edcb5ac86d"	16.7861111	-92.3433333	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"8c3d7731320dc18c713776b0d0a96f78"	"0b74de543b4cd49550540c4a635bd284"	20.7780277	-104.5220555	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
dfdd94d1e03c346636be6279f9587619	c0788dba649b24b8a9c5ed8fafc3a122	18.13417	-99.8311097	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
fc27838f8456cfca78b8331e2a6dcc9f	c6a29f310f9f4a05aade9856047f924f	26.1027797	-105.00167	WGS84	50.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"0f1529fe7f66598ff711a67dc458e76b"	bba7ac130e757c975b40478601429771	19.6666697	-98.93111	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"937ba455ba021843dd295a98cf801db3"	"6c3d6e85e498e2e568a81b17accd6800"	16.8108297	-92.5775	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"058853a1a455346e97b42ef910e3fada"	"126dc25e7ecad7e46830f0c9e68640da"	19.28152	-97.7762797	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
b663717d77dfd4497e769a0cf65ad1d1	"43efaa1b653e3cd1e3ecf57529ae0b30"	17.6138894	-101.2272186	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
ad3d1040ef214f67677cee75e8ed796e	"3fd3fad3b05e65e8b7c54d79b21686e1"	19.84083	-98.9805597	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"30399c033145630cd2a2b8d0fa1f0b8b"	"68c469c1d771cda97707dd6dd3d243c3"	16.77083	-92.6208297	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"66531ccef7e264cd3ec23b66958effc0"	"5ee2b48fc3818c22eb61927e4a1e45a9"	16.2774997	-90.8774997	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"62a40804f78dab6ce9ce426ba42b8f1c"	"847ff768232b90205147f5e499fdedb6"	19.0694444	-98.0594405	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"0d7844611438061c00d893bff01e990e"	"715fad30ae9b2cd7c71194acac7a7e10"	24.73222	-99.09778	WGS84	50.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
eced94c0eb765d4beccf93a34dbabbba	"3f6843c076b84e8740b297c3cac45ed4"	16.5688897	-92.7199997	WGS84	100.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
ee76453153f71b82caa80ccc9370a5a5	fce47a9534109eb462df909eb113fe6d	17.44528	-93.1588897	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"79f6b603e8c22d2b334a4c5cc7a422bb"	"401244b1d49f1a75267370bcdd9306b3"	19.7969397	-99.09917	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
d5e75079a4f2f7d950d2e8d6605890a2	"6635189f8b5d9174bb41b1d41d915d88"	19.0036097	-97.1299997	WGS84	80.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"3abbd3557f9eba2368a06194761c86a5"	"5a5b6da0952bd5051ea12627aaf8caea"	28.4777777	-107.3316666	WGS84	60.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
"29fe8bf3205ead65e591531cc4d51bf9"	c029f594ac1d1f0fb340d518e97b9f6b	19.5734722	-101.7166944	WGS84	90.0	"1:250 000"	""	""	""	""	""	""	""	""	Conversión de sexagesimal a decimal	""
